puuid,gameName,tagLine,leaderboardRank,rankedRating,numberOfWins,competitiveTier
NWgmoz-C40RB2z0PWZxDeDs3xuTrpUU3UyNG8qB9YObXM5X0dt98OBJgMBdpRxpalgspQweR1K8vTQ,Destroy lonely,恨爱 X,134,616,38,27
135,615,36,27
Jbs_odnTSpYjE76f-PIcH5A3AUbx_-yBZScT7R5895PGPqzS4-IAbUf8kHhcVWI9zlZSPdCvdk85JA,dogo,zero,136,613,24,27
sSWOqQ8KYNzIcqV1rFgScPg58wh-XhJ0w9LkZ3s08ALlHlalAY19s9RRsBHnkR9JJ8r7f-KDFfI5pg,d1ve,NAS,137,611,31,27
fw1QN7xL6hiR3EMkaF03IFEf2pDED3wJE0nF5BEHY6xnWk4l4AIqWTP5jZMJG-3k2b-kuj8A5kkpBg,RESHURA,Quynh,138,609,23,27
4vp-kNtpaFcAJnclWRQp_eMfCmc0zWmD7oWUzZTir6QFRkUphqfQQRvwh5hqrctzXmdsl-08vnThAw,opTED,noot,139,609,29,27
-ZCUe_tYetzQRt4xiFhj6EtifizzKR2CZ19yArD7kEk6fYoSF8OvU6o4AkIl-Mtn73Lv2O1EFdpm_g,Ducky,FEVER,140,609,26,27
Qq3dasL13-XsqVZxxWA8p4CUHwvBs3QzIRFWr_5NopVnqjzfl8WqL_QGfcesQsLPFLLD7T-xe0IC9Q,Goldmannn,FIU,141,609,35,27
AQDeEZ9ozX21xa4kBhzLATM53pJvqWk7HplXpqBpmbNQ6WQj9YpnYPf80tM7Eqzi6SPQLSbgW3ajlQ,puff,33333,142,609,92,27
oJ6B3W_QBUG30NnWM03llDqcwfv-RL5h4BIWHq-pKJGDDgWC5tRijTcM_iHpr_QhiftW563L6cU9sw,Dinxx,frog,143,608,24,27
QNPj6X9KP4Q8fo3toPNAsB_pnt72nXIUwtq5dGVxcIkqr4vbsT-MDIFb_Mj7XtYvigGLVtj7grDEtQ,rawnie,black,144,608,47,27
mehmnYjLle7nhvAsoWmlJ3Z7NxhZyuL9Ok4Wu-iQD4slWDqC7Blo8w13rDKZ6zl2ts8IyTXYX8I0VA,Clutch,meow,145,608,45,27
Rc5hUugJA-8jDHEKC44WoLb5u9VDvmZ6AHnHQrApzwV_10pKTxETP2Km7niTc0CU959PtaVp_n6Xng,tokyo,yay,146,607,32,27
ELiyWWWVXjJXrHqDc53zyEWNsTlGjix5zdpCaSDum1-K4Jzcqjmnjmr0LuhFQ1JrH4q4kaBKLYc5nA,PA1NT,Peak,147,604,27,27
3RqVubbUcMzPoFIVHvuypAMNkn7kdXoywVoN2gQaP7QukXkApA_1_3v2ZJky0rt3xVog_3k-BGiqMQ,LF GOTH MOMMYS,DEAD,148,603,70,27
jzi0tqc25zLLUAzUzun3qW4RdbxbSmH3AcEqvFpb1myiCaeZSYVquzTVgHqpdpn7vmb9d9O5Dwyi5A,Sharked,KZN,149,603,74,27
V22iXi1HVhVtW2pHHSU0RMexHBmqMzzEeyer1S5Oxpm8WC2ANVKm2fwebmj56yJ7nNcsh79hMFBewg,Freshtzin,000,150,602,49,27
-VejQ6lhJSXQ-2cAMW3LC7kTdx9HA4EUe6kIOJY1UMv-0VDMruNX9tnQnVtazgC-Q52xqB3W2XtSkA,zurc,444,151,600,27,27
S4iHh5HZ6IOpk2RyBro9fHRYlymlh1tE3VyRHFnTVPbd-8uJQuIb0bZhwcLueI9zay9DZKEszPvnLw,habibti,manda,152,600,47,27
l3YaZC1KCYlyYNqZ4h24DaZlcui3NNpbnML_ebdSirHyoB9qi5nwLecgQeI1sMT-b2c4PmdytcBPbQ,RYKER,ZERO,153,600,46,27
iPKbmPC-oRWeEt1OAilvrAp485aXY4746-rOnlWoIjZbPojAaA1I_mMjPEhhjw-gN_129ycPAo53eA,scarn,3DWN,154,599,25,27
NBV0WfzrGBRRUTDk0sFqfiRX0N2qqlLEi3AWXhktYRoxw1hkja2kmh0N511I5VeXGOar5O_tKqh1sw,shondex,snx,155,599,22,27
-3Zoq3ZUEQwrgiSaBxDnvmPEqckFw-ZfhHxAJ20NZV5JkuYq_E-NpHIR6qaj7K4apfER4pADkqhI4g,Sleepy Femboy,Emi,156,599,33,27
